ao_id,reference,acheteur,procedure_type,published_date,end_date,provinces,is_cancelled,domains,administratif_name,administratif_email,lot_id,lot_object,lot_category,lot_estimation,final_price,winner,lot_caution,lot_reserve,is_qualified,lot_result_status,jury_date,qualifications,soumissionnaires,montants_soumis,nombre_soumissionnaires
910194.0,: ',: ',: ',: ',: ',CHICHAOUA,False,{domId: 271747;domain: Travaux;activite: Travaux daménagement;dentretien et réhabilitation  des bâtiments;sousDomain: Travaux de construction et daménagement},: ',: ',257458,: ',: ',267183.6,,": null, '",5000.0,: ',False,": null, '",": null, '",,,,0
910194.0,: ',: ',: ',: ',: ',CHICHAOUA,False,{domId: 271747;domain: Travaux;activite: Travaux daménagement;dentretien et réhabilitation  des bâtiments;sousDomain: Travaux de construction et daménagement},: ',: ',257466,: ',: ',20041932.0,,": null, '",300000.0,: ',False,": null, '",": null, '",{ts: Equipement-B;tsq: Equipement-B-5;tsqc: Equipement-B-5-1;type: Equipement;classe: 1;qualId: 63115;secteur: B;qualification: 5};{ts: Equipement-B;tsq: Equipement-B-3;tsqc: Equipement-B-3-1;type: Equipement;classe: 1;qualId: 63114;secteur: B;qualification: 3};{ts: Equipement-B;tsq: Equipement-B-1;tsqc: Equipement-B-1-1;type: Equipement;classe: 1;qualId: 63113;secteur: B;qualification: 1},,,0
910194.0,: ',: ',: ',: ',: ',CHICHAOUA,False,{domId: 271747;domain: Travaux;activite: Travaux daménagement;dentretien et réhabilitation  des bâtiments;sousDomain: Travaux de construction et daménagement},: ',: ',257468,: ',: ',479232.0,,": null, '",9000.0,: ',False,": null, '",": null, '",,,,0
910194.0,: ',: ',: ',: ',: ',CHICHAOUA,False,{domId: 271747;domain: Travaux;activite: Travaux daménagement;dentretien et réhabilitation  des bâtiments;sousDomain: Travaux de construction et daménagement},: ',: ',257469,: ',: ',655680.0,,": null, '",13000.0,: ',False,": null, '",": null, '",,,,0
910194.0,: ',: ',: ',: ',: ',CHICHAOUA,False,{domId: 271747;domain: Travaux;activite: Travaux daménagement;dentretien et réhabilitation  des bâtiments;sousDomain: Travaux de construction et daménagement},: ',: ',257470,: ',: ',1080000.0,,": null, '",20000.0,: ',False,": null, '",": null, '",,,,0
910194.0,: ',: ',: ',: ',: ',CHICHAOUA,False,{domId: 271747;domain: Travaux;activite: Travaux daménagement;dentretien et réhabilitation  des bâtiments;sousDomain: Travaux de construction et daménagement},: ',: ',257471,: ',: ',2100000.0,,": null, '",40000.0,: ',False,": null, '",": null, '",,,,0
910194.0,: ',: ',: ',: ',: ',CHICHAOUA,False,{domId: 271747;domain: Travaux;activite: Travaux daménagement;dentretien et réhabilitation  des bâtiments;sousDomain: Travaux de construction et daménagement},: ',: ',257476,: ',: ',374882.0,,": null, '",7400.0,: ',False,": null, '",": null, '",,,,0
910194.0,: ',: ',: ',: ',: ',CHICHAOUA,False,{domId: 271747;domain: Travaux;activite: Travaux daménagement;dentretien et réhabilitation  des bâtiments;sousDomain: Travaux de construction et daménagement},: ',: ',257486,: ',: ',3570000.0,,": null, '",65000.0,: ',False,": null, '",": null, '",,,,0
910194.0,: ',: ',: ',: ',: ',CHICHAOUA,False,{domId: 271747;domain: Travaux;activite: Travaux daménagement;dentretien et réhabilitation  des bâtiments;sousDomain: Travaux de construction et daménagement},: ',: ',257488,: ',: ',1494444.0,,": null, '",25000.0,: ',False,": null, '",": null, '",{ts: Equipement-X;tsq: Equipement-X-2;tsqc: Equipement-X-2-2;type: Equipement;classe: 2;qualId: 63122;secteur: X;qualification: 2};{ts: Equipement-X;tsq: Equipement-X-1;tsqc: Equipement-X-1-2;type: Equipement;classe: 2;qualId: 63121;secteur: X;qualification: 1},,,0
910194.0,: ',: ',: ',: ',: ',CHICHAOUA,False,{domId: 271747;domain: Travaux;activite: Travaux daménagement;dentretien et réhabilitation  des bâtiments;sousDomain: Travaux de construction et daménagement},: ',: ',257489,: ',: ',555234.0,,": null, '",10000.0,: ',False,": null, '",": null, '",{ts: Equipement-X;tsq: Equipement-X-2;tsqc: Equipement-X-2-3;type: Equipement;classe: 3;qualId: 63124;secteur: X;qualification: 2};{ts: Equipement-X;tsq: Equipement-X-1;tsqc: Equipement-X-1-3;type: Equipement;classe: 3;qualId: 63123;secteur: X;qualification: 1},,,0
910194.0,: ',: ',: ',: ',: ',CHICHAOUA,False,{domId: 271747;domain: Travaux;activite: Travaux daménagement;dentretien et réhabilitation  des bâtiments;sousDomain: Travaux de construction et daménagement},: ',: ',257490,: ',: ',1996020.0,,": null, '",40000.0,: ',False,": null, '",": null, '",,,,0
910194.0,: ',: ',: ',: ',: ',CHICHAOUA,False,{domId: 271747;domain: Travaux;activite: Travaux daménagement;dentretien et réhabilitation  des bâtiments;sousDomain: Travaux de construction et daménagement},: ',: ',257491,: ',: ',342096.0,,": null, '",6800.0,: ',False,": null, '",": null, '",,,,0
910194.0,: ',: ',: ',: ',: ',CHICHAOUA,False,{domId: 271747;domain: Travaux;activite: Travaux daménagement;dentretien et réhabilitation  des bâtiments;sousDomain: Travaux de construction et daménagement},: ',: ',257494,: ',: ',396240.0,,": null, '",7900.0,: ',False,": null, '",": null, '",,,,0
910194.0,: ',: ',: ',: ',: ',CHICHAOUA,False,{domId: 271747;domain: Travaux;activite: Travaux daménagement;dentretien et réhabilitation  des bâtiments;sousDomain: Travaux de construction et daménagement},: ',: ',257495,: ',: ',372408.0,,": null, '",7000.0,: ',False,": null, '",": null, '",,,,0
910194.0,: ',: ',: ',: ',: ',CHICHAOUA,False,{domId: 271747;domain: Travaux;activite: Travaux daménagement;dentretien et réhabilitation  des bâtiments;sousDomain: Travaux de construction et daménagement},: ',: ',257496,: ',: ',307476.0,,": null, '",5500.0,: ',False,": null, '",": null, '",,,,0
914871.0,: ',: ',: ',: ',: ',GUELMIM,False,{domId: 271609;domain: Travaux;activite: Pose de conduites deau potable;sousDomain: Travaux dassainissement;deau potable et de réseaux divers};{domId: 271610;domain: Travaux;activite: Travaux dadduction deau potable;sousDomain: Travaux dassainissement;deau potable et de réseaux divers};{domId: 271611;domain: Travaux;activite: Travaux en béton armé ou maçonnerie;sousDomain: Travaux de construction et daménagement};{domId: 271612;domain: Travaux;activite: Travaux dinstallation de matériel et équipements hydro-électromécaniques;électroniques;électromécaniques et similaires;sousDomain: Travaux dinstallation};{domId: 271613;domain: Travaux;activite: Travaux détanchéité;sousDomain: Travaux détanchéité;isolation;plomberie et menuiserie},: ',: ',257333,: ',: ',3900000.0,,": null, '",39000.0,: ',False,": null, '",": null, '",,,,0
914871.0,: ',: ',: ',: ',: ',GUELMIM,False,{domId: 271609;domain: Travaux;activite: Pose de conduites deau potable;sousDomain: Travaux dassainissement;deau potable et de réseaux divers};{domId: 271610;domain: Travaux;activite: Travaux dadduction deau potable;sousDomain: Travaux dassainissement;deau potable et de réseaux divers};{domId: 271611;domain: Travaux;activite: Travaux en béton armé ou maçonnerie;sousDomain: Travaux de construction et daménagement};{domId: 271612;domain: Travaux;activite: Travaux dinstallation de matériel et équipements hydro-électromécaniques;électroniques;électromécaniques et similaires;sousDomain: Travaux dinstallation};{domId: 271613;domain: Travaux;activite: Travaux détanchéité;sousDomain: Travaux détanchéité;isolation;plomberie et menuiserie},: ',: ',257337,: ',: ',895260.0,,": null, '",17900.0,: ',False,": null, '",": null, '",,,,0
914871.0,: ',: ',: ',: ',: ',GUELMIM,False,{domId: 271609;domain: Travaux;activite: Pose de conduites deau potable;sousDomain: Travaux dassainissement;deau potable et de réseaux divers};{domId: 271610;domain: Travaux;activite: Travaux dadduction deau potable;sousDomain: Travaux dassainissement;deau potable et de réseaux divers};{domId: 271611;domain: Travaux;activite: Travaux en béton armé ou maçonnerie;sousDomain: Travaux de construction et daménagement};{domId: 271612;domain: Travaux;activite: Travaux dinstallation de matériel et équipements hydro-électromécaniques;électroniques;électromécaniques et similaires;sousDomain: Travaux dinstallation};{domId: 271613;domain: Travaux;activite: Travaux détanchéité;sousDomain: Travaux détanchéité;isolation;plomberie et menuiserie},: ',: ',257338,: ',: ',960000.0,,": null, '",9600.0,: ',False,": null, '",": null, '",,,,0
914871.0,: ',: ',: ',: ',: ',GUELMIM,False,{domId: 271609;domain: Travaux;activite: Pose de conduites deau potable;sousDomain: Travaux dassainissement;deau potable et de réseaux divers};{domId: 271610;domain: Travaux;activite: Travaux dadduction deau potable;sousDomain: Travaux dassainissement;deau potable et de réseaux divers};{domId: 271611;domain: Travaux;activite: Travaux en béton armé ou maçonnerie;sousDomain: Travaux de construction et daménagement};{domId: 271612;domain: Travaux;activite: Travaux dinstallation de matériel et équipements hydro-électromécaniques;électroniques;électromécaniques et similaires;sousDomain: Travaux dinstallation};{domId: 271613;domain: Travaux;activite: Travaux détanchéité;sousDomain: Travaux détanchéité;isolation;plomberie et menuiserie},: ',: ',257339,: ',: ',536160.0,,": null, '",10000.0,: ',False,": null, '",": null, '",,,,0
